kind	symbol	type	status
REQUIRED	vapp_main	T	PRESENT
REQUIRED	ai_agent_main	T	PRESENT
REQUIRED	quickapp_mq_listener_task	-	MISSING
REQUIRED	tool_mooncat_coach_execute	T	PRESENT
REQUIRED	openvela_ui_main	T	PRESENT
REQUIRED	mooncat_local_router_handle	-	MISSING
REQUIRED	mooncat_intent_model_predict	-	MISSING
BANNED	luncher_mini_main	-	ABSENT
